AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME,WAC,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
20438,HB,9900U,Air Club International,HB (1),9900U,Air Club International,900,0,0,International,10/1/94,10/31/97
20439,HB,7030,Homer Air,HB,7030,Homer Air,1,1,5,Domestic,4/1/05,12/31/15
20440,LC,9327C,Lineas Aereas Del Caribe,LC (1),9327C,Lineas Aereas Del Caribe,327,0,0,International,7/1/81,5/31/96
20441,LC,6694,Legend Airlines,LC (2),6694,Legend Airlines,10,2,2,Domestic,3/1/00,12/31/00
20442,LC,9316G,Varig Logistica S/A,LC,9316G,Varig Logistica S/A,316,0,0,International,4/1/05,
20443,0Z,6981,Island Air Service,2O,6981,Island Air Service,1,1,5,Domestic,4/1/05,8/31/07
20443,9I,6981,Island Air Service,2O,6981,Island Air Service,1,1,5,Domestic,10/1/03,3/31/05
20443,2O,6981,Island Air Service,2O,6981,Island Air Service,1,1,5,Domestic,9/1/07,
20443,IAS,38279,Island Air Service,2O,38279,Island Air Service,1,1,5,Domestic,3/1/99,12/31/01
20443,IAS,6981,Island Air Service,2O,6981,Island Air Service,1,1,5,Domestic,1/1/02,9/30/03
20444,JN,9493V,Excel Airways,JN,9493V,Excel Airways,493,0,0,International,5/1/05,8/31/08
20445,C5,6944,"Commutair Aka Champlain Enterprises, Inc.",C5,6944,"Commutair Aka Champlain Enterprises, Inc.",10,1,6,Domestic,7/1/05,
20445,CMT,38164,"Commutair Aka Champlain Enterprises, Inc.",C5,38164,"Commutair Aka Champlain Enterprises, Inc.",10,1,6,Domestic,9/1/89,9/30/02
20445,CMT,6944,"Commutair Aka Champlain Enterprises, Inc.",C5,6944,"Commutair Aka Champlain Enterprises, Inc.",10,1,6,Domestic,10/1/02,6/30/05
20446,M7,9148I,Aerotransportes Mas De Crga,M7,9148I,Aerotransportes Mas De Crga,148,0,0,International,7/1/05,
20446,MDQ,9148I,Aerotransportes Mas De Crga,M7,9148I,Aerotransportes Mas De Crga,148,0,0,International,2/1/92,9/30/92
20446,MY,9148I,Aerotransportes Mas De Crga,M7,9148I,Aerotransportes Mas De Crga,148,0,0,International,10/1/92,6/30/05
20447,U7,16917,USA Jet Airlines Inc.,U7,16917,USA Jet Airlines Inc.,10,1,4,International,12/1/94,12/31/96
20447,U7,6911,USA Jet Airlines Inc.,U7,06911 (1),USA Jet Airlines Inc.,10,1,4,System,12/1/94,12/31/96
20447,U7,16917,USA Jet Airlines Inc.,U7,16917,USA Jet Airlines Inc.,10,2,2,International,1/1/00,12/31/02
20447,U7,6912,USA Jet Airlines Inc.,U7,6912,USA Jet Airlines Inc.,10,2,2,Domestic,1/1/00,12/31/02
20447,U7,16917,USA Jet Airlines Inc.,U7,16917,USA Jet Airlines Inc.,10,1,1,International,1/1/03,12/31/06
20447,U7,6912,USA Jet Airlines Inc.,U7,6912,USA Jet Airlines Inc.,10,1,1,Domestic,1/1/03,12/31/06
20447,U7,16917,USA Jet Airlines Inc.,U7,16917,USA Jet Airlines Inc.,10,1,1,International,1/1/97,12/31/99
20447,U7,6911,USA Jet Airlines Inc.,U7,06911 (1),USA Jet Airlines Inc.,10,1,1,System,1/1/97,12/31/99
20447,U7,16917,USA Jet Airlines Inc.,U7,16917,USA Jet Airlines Inc.,10,2,2,International,1/1/07,12/31/09
20447,U7,6912,USA Jet Airlines Inc.,U7,6912,USA Jet Airlines Inc.,10,2,2,Domestic,1/1/07,12/31/09
20447,U7,16917,USA Jet Airlines Inc.,U7,16917,USA Jet Airlines Inc.,10,1,1,International,1/1/10,12/31/10
20447,U7,6912,USA Jet Airlines Inc.,U7,6912,USA Jet Airlines Inc.,10,1,1,Domestic,1/1/10,12/31/10
20447,U7,16917,USA Jet Airlines Inc.,U7,16917,USA Jet Airlines Inc.,10,2,2,International,1/1/11,
20447,U7,6912,USA Jet Airlines Inc.,U7,6912,USA Jet Airlines Inc.,10,2,2,Domestic,1/1/11,
20448,S5,6911,Shuttle America Corp.,S5,6911,Shuttle America Corp.,10,1,1,Domestic,7/1/05,12/31/08
20448,S5,6911,Shuttle America Corp.,S5,6911,Shuttle America Corp.,10,2,2,Domestic,1/1/09,12/31/16
20448,SHA,38277,Shuttle America Corp.,S5,38277,Shuttle America Corp.,10,1,6,Domestic,12/1/98,9/30/02
20448,SHA,6911,Shuttle America Corp.,S5,6911,Shuttle America Corp.,10,1,6,Domestic,10/1/02,6/30/05
20449,WEQ,9427I,Aero-Services-Corporate,WEQ,9427I,Aero-Services-Corporate,427,0,0,International,7/1/05,
20450,F2,16006,Omega Air Holdings d/b/a Focus Air,F2,16006,Omega Air Holdings d/b/a Focus Air,10,1,4,International,8/1/05,12/31/06
20450,F2,6006,Omega Air Holdings d/b/a Focus Air,F2,6006,Omega Air Holdings d/b/a Focus Air,10,1,4,Domestic,8/1/05,12/31/06
20450,F2,6004,Omega Air Holdings d/b/a Focus Air,F2,6004,Omega Air Holdings d/b/a Focus Air,10,1,4,System,8/1/05,12/31/06
20450,F2,16006,Omega Air Holdings d/b/a Focus Air,F2,16006,Omega Air Holdings d/b/a Focus Air,10,1,1,International,1/1/07,9/30/08
20450,F2,6006,Omega Air Holdings d/b/a Focus Air,F2,6006,Omega Air Holdings d/b/a Focus Air,10,1,1,Domestic,1/1/07,9/30/08
20450,F2,6004,Omega Air Holdings d/b/a Focus Air,F2,6004,Omega Air Holdings d/b/a Focus Air,10,1,1,System,1/1/07,9/30/08
20451,TH,9746B,Transmile Air Service,TH,9746B,Transmile Air Service,749,0,0,International,8/1/05,
20452,YX,11038,Republic Airlines,YX,11038,Republic Airlines,10,2,2,Atlantic,7/1/11,
20452,YX,11029,Republic Airlines,YX,11029,Republic Airlines,10,2,2,Latin America,7/1/11,
20452,YX,6003,Republic Airlines,YX,6003,Republic Airlines,10,2,2,Domestic,10/1/09,
20452,RW,6003,Republic Airlines,YX,6003,Republic Airlines,10,2,2,Domestic,1/1/09,9/30/09
20452,RW,6003,Republic Airlines,YX,6003,Republic Airlines,10,1,1,Domestic,1/1/06,12/31/08
20452,REP,6003,Republic Airlines,YX,6003,Republic Airlines,10,1,1,Domestic,9/1/05,12/31/05
20453,ABX,80006,Airborne Express Inc.,ABX,80006,ABX Air Inc,10,3,3,Domestic,1/1/05,9/30/05
20453,ABX,80006,Airborne Express Inc.,ABX,80006,ABX Air Inc,10,7,7,Domestic,4/1/04,12/31/04
20453,ABX,80006,ABX Air Inc,ABX,80006,ABX Air Inc,10,3,3,Domestic,10/1/05,12/31/10
20453,ABX,11009,ABX Air Inc,ABX,11009,ABX Air Inc,10,3,3,Atlantic,5/1/09,12/31/10
20453,ABX,11018,ABX Air Inc,ABX,11018,ABX Air Inc,10,3,3,Pacific,10/1/10,12/31/10
20453,ABX,80006,ABX Air Inc,ABX,80006,ABX Air Inc,10,2,2,Domestic,1/1/11,
20453,ABX,11009,ABX Air Inc,ABX,11009,ABX Air Inc,10,2,2,Atlantic,1/1/11,
20453,ABX,11018,ABX Air Inc,ABX,11018,ABX Air Inc,10,2,2,Pacific,1/1/11,
20453,MIW,80006,Airborne Express Inc.,ABX,80006,ABX Air Inc,10,7,7,Domestic,6/1/81,3/31/04
20454,E0,16211,"EOS Airlines, Inc.",E0,16211,"EOS Airlines, Inc.",10,1,4,Atlantic,10/1/05,12/31/06
20454,E0,16211,"EOS Airlines, Inc.",E0,16211,"EOS Airlines, Inc.",10,1,1,Atlantic,1/1/07,6/30/08
20455,G9,6985,Grant Aviation,GV,6985,Grant Aviation,1,1,5,Domestic,4/1/03,9/30/05
20455,GV,6985,Grant Aviation,GV,6985,Grant Aviation,1,1,5,Domestic,1/1/07,
20455,GRT,38245,Grant Aviation,GV,38245,Grant Aviation,1,1,5,Domestic,3/1/94,12/31/01
20455,GRT,6985,Grant Aviation,GV,6985,Grant Aviation,1,1,5,Domestic,1/1/02,3/31/03
20455,GS,6985,Grant Aviation,GV,6985,Grant Aviation,1,1,5,Domestic,10/1/05,12/31/06
20456,GS,9493N,Air Foyle Limited,GS,9493N,Air Foyle Limited,493,0,0,International,1/1/92,11/30/01
20500,G7,7041,GoJet Airlines LLC d/b/a United Express,G7,7041,GoJet Airlines LLC d/b/a United Express,10,2,2,Domestic,1/1/08,
20500,G7,7041,GoJet Airlines LLC d/b/a United Express,G7,7041,GoJet Airlines LLC d/b/a United Express,10,1,1,Domestic,9/1/05,12/31/07
20501,MOQ,9900X,Morningstar Air Express,MOQ,9900X,Morningstar Air Express,900,0,0,International,1/1/04,
20502,MY,7050,MAXjet,MY,7050,MAXjet,10,1,1,Domestic,1/1/07,12/31/07
20502,MY,7050,MAXjet,MY,7050,MAXjet,10,1,4,Domestic,11/1/05,12/31/06
20502,MY,17050,MAXjet,MY,17050,MAXjet,10,1,4,Atlantic,11/1/05,12/31/06
