AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME,WAC,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
21342,VB,71070,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",VB,71070,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",148,0,0,International,1/1/08,
21346,0VQ,71071,Ocean Sky (UK) Limited,0VQ,71071,Ocean Sky (UK) Limited,493,0,0,International,5/1/09,
21351,Y4,71072,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4,71072,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),148,0,0,International,7/1/09,
21352,0WQ,1150,Avjet Corporation,0WQ,1150,Avjet Corporation,10,1,1,Domestic,7/1/09,
21356,JQ,71073,Jetstar Airways Pty Limited,JQ,71073,Jetstar Airways Pty Limited,802,0,0,International,10/1/06,
21361,AB,71074,Air Berlin PLC and CO,AB,71074,Air Berlin PLC and CO,429,0,0,International,6/1/09,
21366,SE,71075,XL Airways France,SE,71075,XL Airways France,427,0,0,International,6/1/09,
21373,BES,71077,Aeroservices Executive,BES,71077,Aeroservices Executive,427,0,0,International,10/1/02,
21376,L7,71078,Lan Colombia,L7,71078,Lan Colombia,324,0,0,International,4/1/09,
21382,0YQ,71080,Comlux Malta Ltd.,0YQ,71080,Comlux Malta Ltd.,456,0,0,International,1/1/09,
