 total_passengers 
------------------
          2772143
(1 row)

         city_name         | state_name | airport_code |                      airline_name                       | passengers 
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |         70
 Colorado Springs, CO      | Colorado   | COS          | SkyWest Airlines Inc.                                   |          0
 Colorado Springs, CO      | Colorado   | COS          | SkyWest Airlines Inc.                                   |          0
 Colorado Springs, CO      | Colorado   | COS          | SkyWest Airlines Inc.                                   |         46
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         70
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         62
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         69
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         58
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         45
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         43
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         67
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         69
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |          0
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         69
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         48
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         63
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         63
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         65
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         40
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         76
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         50
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |          0
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |          0
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         68
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         73
 Grand Junction, CO        | Colorado   | GJT          | SkyWest Airlines Inc.                                   |          0
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        144
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        154
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        150
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        144
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |         89
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |         86
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        126
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        200
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        126
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        106
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        137
